"Squad","Player","Starts_Playing","Min_Playing","Gls","Ast","G+A","G_minus_PK","PK","PKatt","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per"
"Chelsea","Facundo Buonanotte",1,45,0,0,0,0,0,0,0,0,0.3,0.3,0,0,5,0,0,0,0,0,0,0.51,0.51,0
"Chelsea","Moisés Caicedo",8,765,3,0,3,3,0,0,0.6,0.6,0.1,0.7,6,49,6,0.35,0,0.35,0.35,0.35,0.07,0.02,0.08,0.07
"Chelsea","Trevoh Chalobah",8,660,2,0,2,2,0,0,0.7,0.7,0.1,0.8,9,29,0,0.27,0,0.27,0.27,0.27,0.1,0.01,0.11,0.1
"Chelsea","Marc Cucurella",8,716,0,2,2,0,0,0,0.4,0.4,1.5,1.9,15,33,31,0,0.25,0.25,0,0.25,0.04,0.19,0.23,0.04
"Chelsea","Liam Delap",2,92,0,0,0,0,0,0,0.2,0.2,0,0.2,2,3,4,0,0,0,0,0,0.22,0,0.22,0.22
"Chelsea","Enzo Fernández",8,708,3,1,4,2,1,1,3.9,3.1,1.1,4.2,10,56,35,0.38,0.13,0.51,0.25,0.38,0.49,0.15,0.64,0.39
"Chelsea","Wesley Fofana",2,130,0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0
"Chelsea","Alejandro Garnacho",3,188,1,0,1,1,0,0,0.3,0.3,0.1,0.4,19,2,30,0.48,0,0.48,0.48,0.48,0.13,0.04,0.17,0.13
"Chelsea","Tyrique George",0,145,0,0,0,0,0,0,0.3,0.3,0,0.3,1,4,10,0,0,0,0,0,0.2,0,0.2,0.2
"Chelsea","Jamie Gittens",2,221,0,0,0,0,0,0,0.1,0.1,0.2,0.3,12,4,17,0,0,0,0,0,0.05,0.07,0.13,0.05
"Chelsea","Marc Guiu",1,136,0,0,0,0,0,0,0.6,0.6,0,0.6,1,1,6,0,0,0,0,0,0.39,0,0.39,0.39
"Chelsea","Malo Gusto",4,401,0,1,1,0,0,0,0.1,0.1,0.2,0.3,9,23,25,0,0.22,0.22,0,0.22,0.02,0.05,0.07,0.02
"Chelsea","Jorrel Hato",2,168,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
"Chelsea","Reece James",6,605,1,2,3,1,0,0,0.3,0.3,1.3,1.7,9,45,20,0.15,0.3,0.45,0.15,0.45,0.05,0.2,0.25,0.05
"Chelsea","João Pedro",9,758,2,3,5,2,0,0,1.6,1.6,1.8,3.3,20,27,52,0.24,0.36,0.59,0.24,0.59,0.19,0.21,0.4,0.19
"Chelsea","Filip Jørgensen",0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chelsea","Roméo Lavia",1,93,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0
"Chelsea","Pedro Neto",9,669,2,2,4,2,0,0,0.8,0.8,1.6,2.4,35,24,69,0.27,0.27,0.54,0.27,0.54,0.11,0.22,0.32,0.11
"Chelsea","Cole Palmer",2,145,1,0,1,1,0,0,0.8,0.8,0,0.8,9,11,14,0.62,0,0.62,0.62,0.62,0.5,0.01,0.51,0.5
"Chelsea","Robert Sánchez",9,724,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0.01,0.01,0
"Chelsea","Andrey Santos",2,225,0,0,0,0,0,0,0.7,0.7,0.1,0.8,4,13,10,0,0,0,0,0,0.28,0.03,0.31,0.28
"Chelsea","Estêvão Willian",4,310,1,1,2,1,0,0,1.7,1.7,1.3,3,12,4,32,0.29,0.29,0.58,0.29,0.58,0.51,0.37,0.87,0.51
"Crystal Palace","Nathaniel Clyne",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crystal Palace","Justin Devenny",1,149,0,0,0,0,0,0,0.4,0.4,0.1,0.5,5,5,9,0,0,0,0,0,0.26,0.07,0.33,0.26
"Crystal Palace","Odsonne Édouard",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crystal Palace","Romain Esse",0,25,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
"Crystal Palace","Eberechi Eze",1,83,0,0,0,0,0,0,0.2,0.2,0,0.2,0,1,2,0,0,0,0,0,0.26,0,0.26,0.26
"Crystal Palace","Marc Guéhi",8,720,1,1,2,1,0,0,0.8,0.8,1.1,1.9,7,39,3,0.12,0.12,0.25,0.12,0.25,0.1,0.13,0.23,0.1
"Crystal Palace","Dean Henderson",8,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crystal Palace","Will Hughes",5,412,0,0,0,0,0,0,0.2,0.2,0.5,0.6,2,25,3,0,0,0,0,0,0.03,0.1,0.14,0.03
"Crystal Palace","Daichi Kamada",6,525,0,0,0,0,0,0,0.4,0.4,0.9,1.3,8,26,16,0,0,0,0,0,0.07,0.16,0.23,0.07
"Crystal Palace","Maxence Lacroix",8,720,0,1,1,0,0,0,0.3,0.3,0.6,0.9,0,13,3,0,0.12,0.12,0,0.12,0.04,0.07,0.11,0.04
"Crystal Palace","Jefferson Lerma",1,185,0,0,0,0,0,0,0.5,0.5,0,0.6,1,10,2,0,0,0,0,0,0.25,0.02,0.27,0.25
