"Squad","Player","Starts_Playing","Min_Playing","Gls","Ast","G+A","G_minus_PK","PK","PKatt","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","Cmp_Total","Att_Total","Cmp_percent_Total","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP","Tkl_Tackles","TklW_Tackles","Blocks_Blocks","Int","Tkl+Int","Clr","Err","Fls","Fld","Off","Crs","Won_Aerial","Lost_Aerial","Won_percent_Aerial","GA","GA90","SoTA","Saves","Save_percent","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty"
"Aston Villa","Marco Bizot",2,180,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,46,67,68.7,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,NA,3,1.5,7,4,71.4,1,50,1,1,0,0,0
"Aston Villa","Lamare Bogarde",3,281,0,0,0,0,0,0,0,0,0,0,3,8,2,0,0,0,0,0,0,0.01,0.01,0,0,0,0,NA,0,0,NA,NA,NA,148,157,94.3,0,0.1,0,2,14,1,0,8,4,3,2,0,4,3,1,6,9,0,0,3,5,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aston Villa","Emi Buendía",2,329,2,1,3,2,0,0,0.7,0.7,0.4,1.1,11,23,13,0.55,0.27,0.82,0.55,0.82,0.19,0.11,0.31,0.19,2,11,2,18.2,3.01,0.55,0.18,1,21,105,131,80.2,0.4,0.6,0.6,6,13,9,0,23,12,8,9,1,13,7,0,11,6,0,1,4,9,30.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aston Villa","Matty Cash",8,696,1,0,1,1,0,0,0.1,0.1,0.5,0.6,11,30,38,0.13,0,0.13,0.13,0.13,0.02,0.06,0.08,0.02,1,7,2,28.6,0.91,0.26,0.14,0.5,29.1,344,433,79.4,0.5,0.6,-0.5,6,35,4,1,30,14,9,11,5,19,23,1,7,8,2,34,6,6,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aston Villa","Lucas Digne",7,569,0,2,2,0,0,0,0.3,0.3,0.6,0.9,7,11,48,0,0.32,0.32,0,0.32,0.04,0.1,0.14,0.04,0,4,2,50,0.63,0.32,0,0,21.5,220,307,71.7,0.6,1.1,1.4,7,7,9,5,11,9,5,2,4,13,19,0,5,5,2,30,8,8,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aston Villa","Harvey Elliott",1,98,0,0,0,0,0,0,0.2,0.2,0,0.2,3,5,11,0,0,0,0,0,0.17,0,0.17,0.17,0,3,0,0,2.76,0,0,NA,15.3,53,62,85.5,0,0.1,0,0,6,1,1,5,0,0,4,0,0,1,0,0,2,0,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aston Villa","Evann Guessand",4,343,0,0,0,0,0,0,0.3,0.3,0,0.3,10,7,24,0,0,0,0,0,0.08,0.01,0.09,0.08,0,2,2,100,0.52,0.52,0,0,13.4,55,75,73.3,0,0.5,0,1,2,4,0,7,13,7,9,0,13,6,0,6,6,0,10,3,5,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aston Villa","Boubacar Kamara",5,385,0,2,2,0,0,0,0.1,0.1,0.3,0.3,4,31,2,0,0.47,0.47,0,0.47,0.02,0.06,0.08,0.02,0,2,1,50,0.47,0.23,0,0,12,207,234,88.5,0.3,0.3,1.7,4,27,5,0,31,11,7,5,3,14,10,0,4,11,0,0,18,4,81.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aston Villa","Ezri Konsa",7,605,0,0,0,0,0,0,0,0,0,0.1,4,24,2,0,0,0,0,0,0.01,0,0.01,0.01,0,1,1,100,0.15,0.15,0,0,11.1,426,450,94.7,0,0.1,0,1,33,1,0,24,3,1,10,2,5,22,0,3,7,0,3,6,4,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aston Villa","Victor Lindelöf",0,24,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,9,11,81.8,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
