player_id,player_name,team_name,gameweek,total_points,minutes,goals_scored,assists,clean_sheets,yellow_cards,red_cards,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
6,William Saliba,Arsenal,4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00
6,William Saliba,Arsenal,5,2,90,0,0,0,0,0,22.0,3.0,4.0,2.9,5,8,4,9,1,0.13,0.02,0.15,0.89
6,William Saliba,Arsenal,6,1,45,0,0,0,0,0,5.4,11.8,2.0,1.9,1,1,0,1,0,0.00,0.07,0.07,0.20
6,William Saliba,Arsenal,7,6,90,0,0,1,0,0,28.2,2.2,0.0,3.0,8,4,0,8,1,0.00,0.02,0.02,0.49
6,William Saliba,Arsenal,8,6,90,0,0,1,0,0,17.4,2.8,2.0,2.2,4,5,0,4,1,0.00,0.05,0.05,0.44
6,William Saliba,Arsenal,9,1,45,0,0,0,0,0,7.4,1.5,0.0,0.9,1,1,0,1,1,0.00,0.02,0.02,0.08
7,Riccardo Calafiori,Arsenal,1,13,71,1,0,1,1,0,36.2,2.1,35.0,7.3,3,5,1,4,1,0.91,0.01,0.92,0.87
7,Riccardo Calafiori,Arsenal,2,13,63,0,2,1,0,0,38.0,21.4,22.0,8.1,1,1,0,1,1,0.39,0.01,0.40,0.17
7,Riccardo Calafiori,Arsenal,3,2,90,0,0,0,0,0,9.8,1.9,11.0,2.3,5,3,2,7,1,0.13,0.01,0.14,0.52
7,Riccardo Calafiori,Arsenal,4,5,67,0,0,1,1,0,5.4,12.6,2.0,2.0,1,1,2,3,1,0.00,0.01,0.01,0.10
7,Riccardo Calafiori,Arsenal,5,2,90,0,0,0,0,0,3.6,6.2,19.0,2.9,2,6,3,5,1,0.14,0.05,0.19,0.89
7,Riccardo Calafiori,Arsenal,6,1,69,0,0,0,1,0,3.6,16.8,10.0,3.0,3,3,0,3,1,0.10,0.04,0.14,0.53
7,Riccardo Calafiori,Arsenal,7,6,74,0,0,1,0,0,8.8,5.4,19.0,3.3,3,5,3,6,1,0.17,0.02,0.19,0.36
7,Riccardo Calafiori,Arsenal,8,6,90,0,0,1,0,0,12.6,8.0,9.0,3.0,4,6,1,5,1,0.04,0.02,0.06,0.44
7,Riccardo Calafiori,Arsenal,9,6,81,0,0,1,0,0,4.6,3.8,2.0,1.0,1,6,0,1,1,0.07,0.02,0.09,0.46
8,Jurriën Timber,Arsenal,1,0,19,0,0,0,1,0,3.0,0.3,0.0,0.3,1,1,2,3,0,0.00,0.00,0.00,0.66
8,Jurriën Timber,Arsenal,2,24,63,2,1,1,0,0,95.0,28.5,75.0,19.9,2,1,4,6,1,0.81,0.05,0.86,0.17
8,Jurriën Timber,Arsenal,3,2,90,0,0,0,0,0,11.4,12.4,11.0,3.5,5,4,2,7,1,0.09,0.05,0.14,0.52
8,Jurriën Timber,Arsenal,4,8,90,0,0,1,0,0,19.8,13.0,35.0,6.8,4,2,2,6,1,0.30,0.02,0.32,0.20
8,Jurriën Timber,Arsenal,5,1,79,0,0,0,1,0,17.0,13.9,8.0,3.9,1,3,7,8,1,0.00,0.05,0.05,0.65
8,Jurriën Timber,Arsenal,6,2,90,0,0,0,0,0,24.6,38.2,25.0,8.8,4,4,2,6,1,0.53,0.21,0.74,0.61
8,Jurriën Timber,Arsenal,7,11,90,0,1,1,0,0,20.2,16.8,29.0,6.6,3,3,6,9,1,0.16,0.03,0.19,0.49
8,Jurriën Timber,Arsenal,8,6,90,0,0,1,0,0,16.8,31.8,6.0,5.5,2,5,2,4,1,0.00,0.15,0.15,0.44
